2022-01-12 15:33:29,729 - INFO - --- Configs List---
2022-01-12 15:33:29,729 - INFO - --- Dadaset:MIRFlickr
2022-01-12 15:33:29,729 - INFO - --- Train:True
2022-01-12 15:33:29,729 - INFO - --- Bit:16
2022-01-12 15:33:29,729 - INFO - --- Alpha:0.5
2022-01-12 15:33:29,729 - INFO - --- Beta:0.1
2022-01-12 15:33:29,729 - INFO - --- Lambda:0.4
2022-01-12 15:33:29,729 - INFO - --- Mu:1.4
2022-01-12 15:33:29,729 - INFO - --- Batch:32
2022-01-12 15:33:29,729 - INFO - --- Lr_IMG:0.01
2022-01-12 15:33:29,729 - INFO - --- Lr_TXT:0.01
2022-01-12 15:35:01,833 - INFO - Epoch [26/300], Iter [78/156] Loss: -0.4968
2022-01-12 15:35:03,315 - INFO - Epoch [26/300], Iter [156/156] Loss: -0.5261
2022-01-12 15:35:05,185 - INFO - Epoch [27/300], Iter [78/156] Loss: -0.4415
2022-01-12 15:35:06,651 - INFO - Epoch [27/300], Iter [156/156] Loss: -0.5288
2022-01-12 15:35:08,520 - INFO - Epoch [28/300], Iter [78/156] Loss: -0.4872
2022-01-12 15:35:09,996 - INFO - Epoch [28/300], Iter [156/156] Loss: -0.4224
2022-01-12 15:35:11,850 - INFO - Epoch [29/300], Iter [78/156] Loss: -0.4552
2022-01-12 15:35:13,333 - INFO - Epoch [29/300], Iter [156/156] Loss: -0.4859
2022-01-12 15:35:15,207 - INFO - Epoch [30/300], Iter [78/156] Loss: -0.4605
2022-01-12 15:35:16,693 - INFO - Epoch [30/300], Iter [156/156] Loss: -0.4146
2022-01-12 15:35:18,583 - INFO - Epoch [31/300], Iter [78/156] Loss: -0.5000
2022-01-12 15:35:20,077 - INFO - Epoch [31/300], Iter [156/156] Loss: -0.5043
2022-01-12 15:35:21,936 - INFO - Epoch [32/300], Iter [78/156] Loss: -0.4463
2022-01-12 15:35:23,390 - INFO - Epoch [32/300], Iter [156/156] Loss: -0.4394
2022-01-12 15:35:25,278 - INFO - Epoch [33/300], Iter [78/156] Loss: -0.5057
2022-01-12 15:35:26,783 - INFO - Epoch [33/300], Iter [156/156] Loss: -0.5397
2022-01-12 15:35:28,654 - INFO - Epoch [34/300], Iter [78/156] Loss: -0.5597
2022-01-12 15:35:30,150 - INFO - Epoch [34/300], Iter [156/156] Loss: -0.4734
2022-01-12 15:35:32,057 - INFO - Epoch [35/300], Iter [78/156] Loss: -0.5498
2022-01-12 15:35:33,536 - INFO - Epoch [35/300], Iter [156/156] Loss: -0.4751
2022-01-12 15:35:35,413 - INFO - Epoch [36/300], Iter [78/156] Loss: -0.5369
2022-01-12 15:35:36,891 - INFO - Epoch [36/300], Iter [156/156] Loss: -0.5150
2022-01-12 15:35:38,735 - INFO - Epoch [37/300], Iter [78/156] Loss: -0.4888
2022-01-12 15:35:40,208 - INFO - Epoch [37/300], Iter [156/156] Loss: -0.5235
2022-01-12 15:35:42,064 - INFO - Epoch [38/300], Iter [78/156] Loss: -0.4630
2022-01-12 15:35:43,556 - INFO - Epoch [38/300], Iter [156/156] Loss: -0.4546
2022-01-12 15:35:45,400 - INFO - Epoch [39/300], Iter [78/156] Loss: -0.4936
2022-01-12 15:35:46,906 - INFO - Epoch [39/300], Iter [156/156] Loss: -0.4554
2022-01-12 15:35:48,738 - INFO - Epoch [40/300], Iter [78/156] Loss: -0.5110
2022-01-12 15:35:50,233 - INFO - Epoch [40/300], Iter [156/156] Loss: -0.5462
2022-01-12 15:35:50,267 - INFO - --------------------Evaluation: mAP@50-------------------
2022-01-12 15:40:39,031 - INFO - --- Configs List---
2022-01-12 15:40:39,031 - INFO - --- Dadaset:MIRFlickr
2022-01-12 15:40:39,031 - INFO - --- Train:True
2022-01-12 15:40:39,031 - INFO - --- Bit:16
2022-01-12 15:40:39,031 - INFO - --- Alpha:0.5
2022-01-12 15:40:39,031 - INFO - --- Beta:0.1
2022-01-12 15:40:39,031 - INFO - --- Lambda:0.4
2022-01-12 15:40:39,031 - INFO - --- Mu:1.4
2022-01-12 15:40:39,031 - INFO - --- Batch:32
2022-01-12 15:40:39,031 - INFO - --- Lr_IMG:0.01
2022-01-12 15:40:39,031 - INFO - --- Lr_TXT:0.01
2022-01-12 15:40:42,941 - INFO - Epoch [1/300], Iter [78/156] Loss: 0.1637
2022-01-12 15:40:44,398 - INFO - Epoch [1/300], Iter [156/156] Loss: 0.0502
2022-01-12 15:40:46,277 - INFO - Epoch [2/300], Iter [78/156] Loss: 0.0458
2022-01-12 15:40:47,734 - INFO - Epoch [2/300], Iter [156/156] Loss: 0.1174
2022-01-12 15:40:49,635 - INFO - Epoch [3/300], Iter [78/156] Loss: -0.1602
2022-01-12 15:40:51,096 - INFO - Epoch [3/300], Iter [156/156] Loss: -0.0782
2022-01-12 15:40:53,000 - INFO - Epoch [4/300], Iter [78/156] Loss: -0.2174
2022-01-12 15:40:54,462 - INFO - Epoch [4/300], Iter [156/156] Loss: -0.2800
2022-01-12 15:40:56,358 - INFO - Epoch [5/300], Iter [78/156] Loss: -0.2002
2022-01-12 15:40:57,830 - INFO - Epoch [5/300], Iter [156/156] Loss: -0.2006
2022-01-12 15:40:59,692 - INFO - Epoch [6/300], Iter [78/156] Loss: -0.2131
2022-01-12 15:41:01,176 - INFO - Epoch [6/300], Iter [156/156] Loss: -0.3123
2022-01-12 15:41:03,011 - INFO - Epoch [7/300], Iter [78/156] Loss: -0.2903
2022-01-12 15:41:04,510 - INFO - Epoch [7/300], Iter [156/156] Loss: -0.2718
2022-01-12 15:41:06,377 - INFO - Epoch [8/300], Iter [78/156] Loss: -0.3025
2022-01-12 15:41:07,840 - INFO - Epoch [8/300], Iter [156/156] Loss: -0.3147
2022-01-12 15:41:09,699 - INFO - Epoch [9/300], Iter [78/156] Loss: -0.4194
2022-01-12 15:41:11,173 - INFO - Epoch [9/300], Iter [156/156] Loss: -0.2980
2022-01-12 15:41:13,045 - INFO - Epoch [10/300], Iter [78/156] Loss: -0.3257
2022-01-12 15:41:14,510 - INFO - Epoch [10/300], Iter [156/156] Loss: -0.3393
2022-01-12 15:41:16,376 - INFO - Epoch [11/300], Iter [78/156] Loss: -0.3936
2022-01-12 15:41:17,845 - INFO - Epoch [11/300], Iter [156/156] Loss: -0.4110
2022-01-12 15:41:19,710 - INFO - Epoch [12/300], Iter [78/156] Loss: -0.3623
2022-01-12 15:41:21,187 - INFO - Epoch [12/300], Iter [156/156] Loss: -0.3886
2022-01-12 15:41:23,085 - INFO - Epoch [13/300], Iter [78/156] Loss: -0.4676
2022-01-12 15:41:24,558 - INFO - Epoch [13/300], Iter [156/156] Loss: -0.3748
2022-01-12 15:41:26,425 - INFO - Epoch [14/300], Iter [78/156] Loss: -0.4363
2022-01-12 15:41:27,906 - INFO - Epoch [14/300], Iter [156/156] Loss: -0.3087
2022-01-12 15:41:29,790 - INFO - Epoch [15/300], Iter [78/156] Loss: -0.4340
2022-01-12 15:41:31,268 - INFO - Epoch [15/300], Iter [156/156] Loss: -0.4155
2022-01-12 15:41:33,123 - INFO - Epoch [16/300], Iter [78/156] Loss: -0.4315
2022-01-12 15:41:34,607 - INFO - Epoch [16/300], Iter [156/156] Loss: -0.3959
2022-01-12 15:41:36,459 - INFO - Epoch [17/300], Iter [78/156] Loss: -0.4334
2022-01-12 15:41:37,948 - INFO - Epoch [17/300], Iter [156/156] Loss: -0.3887
2022-01-12 15:41:39,809 - INFO - Epoch [18/300], Iter [78/156] Loss: -0.4639
2022-01-12 15:41:41,295 - INFO - Epoch [18/300], Iter [156/156] Loss: -0.4561
2022-01-12 15:41:43,184 - INFO - Epoch [19/300], Iter [78/156] Loss: -0.4513
2022-01-12 15:41:44,637 - INFO - Epoch [19/300], Iter [156/156] Loss: -0.4014
2022-01-12 15:41:46,546 - INFO - Epoch [20/300], Iter [78/156] Loss: -0.4499
2022-01-12 15:41:48,015 - INFO - Epoch [20/300], Iter [156/156] Loss: -0.4844
2022-01-12 15:41:49,924 - INFO - Epoch [21/300], Iter [78/156] Loss: -0.4301
2022-01-12 15:41:51,424 - INFO - Epoch [21/300], Iter [156/156] Loss: -0.4271
2022-01-12 15:41:53,295 - INFO - Epoch [22/300], Iter [78/156] Loss: -0.5003
2022-01-12 15:41:54,779 - INFO - Epoch [22/300], Iter [156/156] Loss: -0.4720
2022-01-12 15:41:56,649 - INFO - Epoch [23/300], Iter [78/156] Loss: -0.4968
2022-01-12 15:41:58,133 - INFO - Epoch [23/300], Iter [156/156] Loss: -0.4302
2022-01-12 15:42:00,010 - INFO - Epoch [24/300], Iter [78/156] Loss: -0.5136
2022-01-12 15:42:01,495 - INFO - Epoch [24/300], Iter [156/156] Loss: -0.4683
2022-01-12 15:42:03,348 - INFO - Epoch [25/300], Iter [78/156] Loss: -0.5006
2022-01-12 15:42:04,838 - INFO - Epoch [25/300], Iter [156/156] Loss: -0.5335
2022-01-12 15:42:06,691 - INFO - Epoch [26/300], Iter [78/156] Loss: -0.4600
2022-01-12 15:42:08,184 - INFO - Epoch [26/300], Iter [156/156] Loss: -0.4976
2022-01-12 15:42:10,047 - INFO - Epoch [27/300], Iter [78/156] Loss: -0.4240
2022-01-12 15:42:11,544 - INFO - Epoch [27/300], Iter [156/156] Loss: -0.5104
2022-01-12 15:42:13,460 - INFO - Epoch [28/300], Iter [78/156] Loss: -0.4826
2022-01-12 15:42:14,943 - INFO - Epoch [28/300], Iter [156/156] Loss: -0.4865
2022-01-12 15:42:16,796 - INFO - Epoch [29/300], Iter [78/156] Loss: -0.5347
2022-01-12 15:42:18,265 - INFO - Epoch [29/300], Iter [156/156] Loss: -0.5102
2022-01-12 15:42:20,156 - INFO - Epoch [30/300], Iter [78/156] Loss: -0.4426
2022-01-12 15:42:21,626 - INFO - Epoch [30/300], Iter [156/156] Loss: -0.4833
2022-01-12 15:42:23,490 - INFO - Epoch [31/300], Iter [78/156] Loss: -0.5183
2022-01-12 15:42:24,970 - INFO - Epoch [31/300], Iter [156/156] Loss: -0.5387
2022-01-12 15:42:26,827 - INFO - Epoch [32/300], Iter [78/156] Loss: -0.3909
2022-01-12 15:42:28,355 - INFO - Epoch [32/300], Iter [156/156] Loss: -0.5546
2022-01-12 15:42:30,258 - INFO - Epoch [33/300], Iter [78/156] Loss: -0.5396
2022-01-12 15:42:31,740 - INFO - Epoch [33/300], Iter [156/156] Loss: -0.5204
2022-01-12 15:42:33,633 - INFO - Epoch [34/300], Iter [78/156] Loss: -0.5313
2022-01-12 15:42:35,078 - INFO - Epoch [34/300], Iter [156/156] Loss: -0.4899
2022-01-12 15:42:36,928 - INFO - Epoch [35/300], Iter [78/156] Loss: -0.4951
2022-01-12 15:42:38,454 - INFO - Epoch [35/300], Iter [156/156] Loss: -0.5364
2022-01-12 15:42:40,313 - INFO - Epoch [36/300], Iter [78/156] Loss: -0.5258
2022-01-12 15:42:41,805 - INFO - Epoch [36/300], Iter [156/156] Loss: -0.5062
2022-01-12 15:42:43,665 - INFO - Epoch [37/300], Iter [78/156] Loss: -0.4738
2022-01-12 15:42:45,157 - INFO - Epoch [37/300], Iter [156/156] Loss: -0.4550
2022-01-12 15:42:47,006 - INFO - Epoch [38/300], Iter [78/156] Loss: -0.4803
2022-01-12 15:42:48,494 - INFO - Epoch [38/300], Iter [156/156] Loss: -0.4909
2022-01-12 15:42:50,321 - INFO - Epoch [39/300], Iter [78/156] Loss: -0.5192
2022-01-12 15:42:51,810 - INFO - Epoch [39/300], Iter [156/156] Loss: -0.5181
2022-01-12 15:42:53,704 - INFO - Epoch [40/300], Iter [78/156] Loss: -0.4922
2022-01-12 15:42:55,179 - INFO - Epoch [40/300], Iter [156/156] Loss: -0.5077
2022-01-12 15:42:55,206 - INFO - --------------------Evaluation: mAP@50-------------------
2022-01-12 15:47:22,183 - INFO - --- Configs List---
2022-01-12 15:47:22,183 - INFO - --- Dadaset:MIRFlickr
2022-01-12 15:47:22,183 - INFO - --- Train:True
2022-01-12 15:47:22,183 - INFO - --- Bit:16
2022-01-12 15:47:22,183 - INFO - --- Alpha:0.5
2022-01-12 15:47:22,183 - INFO - --- Beta:0.1
2022-01-12 15:47:22,183 - INFO - --- Lambda:0.4
2022-01-12 15:47:22,183 - INFO - --- Mu:1.4
2022-01-12 15:47:22,183 - INFO - --- Batch:32
2022-01-12 15:47:22,183 - INFO - --- Lr_IMG:0.01
2022-01-12 15:47:22,183 - INFO - --- Lr_TXT:0.01
2022-01-12 15:47:26,066 - INFO - Epoch [1/300], Iter [78/156] Loss: 0.4667
2022-01-12 15:47:27,535 - INFO - Epoch [1/300], Iter [156/156] Loss: 0.1511
2022-01-12 15:47:29,374 - INFO - Epoch [2/300], Iter [78/156] Loss: -0.0047
2022-01-12 15:47:30,865 - INFO - Epoch [2/300], Iter [156/156] Loss: 0.0521
2022-01-12 15:47:32,710 - INFO - Epoch [3/300], Iter [78/156] Loss: -0.1236
2022-01-12 15:47:34,207 - INFO - Epoch [3/300], Iter [156/156] Loss: -0.0030
2022-01-12 15:47:36,057 - INFO - Epoch [4/300], Iter [78/156] Loss: -0.1751
2022-01-12 15:47:37,528 - INFO - Epoch [4/300], Iter [156/156] Loss: -0.1363
2022-01-12 15:47:39,350 - INFO - Epoch [5/300], Iter [78/156] Loss: -0.2208
2022-01-12 15:47:40,818 - INFO - Epoch [5/300], Iter [156/156] Loss: -0.2337
2022-01-12 15:47:42,682 - INFO - Epoch [6/300], Iter [78/156] Loss: -0.2010
2022-01-12 15:47:44,161 - INFO - Epoch [6/300], Iter [156/156] Loss: -0.2343
2022-01-12 15:47:46,014 - INFO - Epoch [7/300], Iter [78/156] Loss: -0.2693
2022-01-12 15:47:47,475 - INFO - Epoch [7/300], Iter [156/156] Loss: -0.1685
2022-01-12 15:47:49,321 - INFO - Epoch [8/300], Iter [78/156] Loss: -0.3157
2022-01-12 15:47:50,775 - INFO - Epoch [8/300], Iter [156/156] Loss: -0.2610
2022-01-12 15:47:52,628 - INFO - Epoch [9/300], Iter [78/156] Loss: -0.2891
2022-01-12 15:47:54,090 - INFO - Epoch [9/300], Iter [156/156] Loss: -0.3539
2022-01-12 15:47:55,936 - INFO - Epoch [10/300], Iter [78/156] Loss: -0.2438
2022-01-12 15:47:57,427 - INFO - Epoch [10/300], Iter [156/156] Loss: -0.3102
2022-01-12 15:47:59,287 - INFO - Epoch [11/300], Iter [78/156] Loss: -0.3594
2022-01-12 15:48:00,748 - INFO - Epoch [11/300], Iter [156/156] Loss: -0.4255
2022-01-12 15:48:02,630 - INFO - Epoch [12/300], Iter [78/156] Loss: -0.2610
2022-01-12 15:48:04,090 - INFO - Epoch [12/300], Iter [156/156] Loss: -0.3419
2022-01-12 15:48:05,951 - INFO - Epoch [13/300], Iter [78/156] Loss: -0.4150
2022-01-12 15:48:07,414 - INFO - Epoch [13/300], Iter [156/156] Loss: -0.3560
2022-01-12 15:48:09,280 - INFO - Epoch [14/300], Iter [78/156] Loss: -0.4674
2022-01-12 15:48:10,748 - INFO - Epoch [14/300], Iter [156/156] Loss: -0.3354
2022-01-12 15:48:12,637 - INFO - Epoch [15/300], Iter [78/156] Loss: -0.4329
2022-01-12 15:48:14,086 - INFO - Epoch [15/300], Iter [156/156] Loss: -0.4427
2022-01-12 15:48:15,919 - INFO - Epoch [16/300], Iter [78/156] Loss: -0.4317
2022-01-12 15:48:17,384 - INFO - Epoch [16/300], Iter [156/156] Loss: -0.3605
2022-01-12 15:48:19,258 - INFO - Epoch [17/300], Iter [78/156] Loss: -0.4201
2022-01-12 15:48:20,701 - INFO - Epoch [17/300], Iter [156/156] Loss: -0.4085
2022-01-12 15:48:22,527 - INFO - Epoch [18/300], Iter [78/156] Loss: -0.3994
2022-01-12 15:48:24,022 - INFO - Epoch [18/300], Iter [156/156] Loss: -0.3915
2022-01-12 15:48:25,876 - INFO - Epoch [19/300], Iter [78/156] Loss: -0.4845
2022-01-12 15:48:27,337 - INFO - Epoch [19/300], Iter [156/156] Loss: -0.3707
2022-01-12 15:48:29,192 - INFO - Epoch [20/300], Iter [78/156] Loss: -0.4110
2022-01-12 15:48:30,659 - INFO - Epoch [20/300], Iter [156/156] Loss: -0.4432
2022-01-12 15:48:32,493 - INFO - Epoch [21/300], Iter [78/156] Loss: -0.4774
2022-01-12 15:48:33,966 - INFO - Epoch [21/300], Iter [156/156] Loss: -0.4748
2022-01-12 15:48:35,843 - INFO - Epoch [22/300], Iter [78/156] Loss: -0.4146
2022-01-12 15:48:37,294 - INFO - Epoch [22/300], Iter [156/156] Loss: -0.4028
2022-01-12 15:48:39,167 - INFO - Epoch [23/300], Iter [78/156] Loss: -0.5087
2022-01-12 15:48:40,647 - INFO - Epoch [23/300], Iter [156/156] Loss: -0.4272
2022-01-12 15:48:42,527 - INFO - Epoch [24/300], Iter [78/156] Loss: -0.4456
2022-01-12 15:48:44,002 - INFO - Epoch [24/300], Iter [156/156] Loss: -0.4411
2022-01-12 15:48:45,876 - INFO - Epoch [25/300], Iter [78/156] Loss: -0.5022
2022-01-12 15:48:47,344 - INFO - Epoch [25/300], Iter [156/156] Loss: -0.5315
2022-01-12 15:48:49,176 - INFO - Epoch [26/300], Iter [78/156] Loss: -0.4942
2022-01-12 15:48:50,661 - INFO - Epoch [26/300], Iter [156/156] Loss: -0.3975
2022-01-12 15:48:52,525 - INFO - Epoch [27/300], Iter [78/156] Loss: -0.4434
2022-01-12 15:48:54,002 - INFO - Epoch [27/300], Iter [156/156] Loss: -0.4996
2022-01-12 15:48:55,877 - INFO - Epoch [28/300], Iter [78/156] Loss: -0.4891
2022-01-12 15:48:57,339 - INFO - Epoch [28/300], Iter [156/156] Loss: -0.5356
2022-01-12 15:48:59,194 - INFO - Epoch [29/300], Iter [78/156] Loss: -0.4349
2022-01-12 15:49:00,644 - INFO - Epoch [29/300], Iter [156/156] Loss: -0.4453
2022-01-12 15:49:02,507 - INFO - Epoch [30/300], Iter [78/156] Loss: -0.5467
2022-01-12 15:49:03,971 - INFO - Epoch [30/300], Iter [156/156] Loss: -0.4609
2022-01-12 15:49:05,809 - INFO - Epoch [31/300], Iter [78/156] Loss: -0.5175
2022-01-12 15:49:07,294 - INFO - Epoch [31/300], Iter [156/156] Loss: -0.3996
2022-01-12 15:49:09,152 - INFO - Epoch [32/300], Iter [78/156] Loss: -0.4421
2022-01-12 15:49:10,640 - INFO - Epoch [32/300], Iter [156/156] Loss: -0.4514
2022-01-12 15:49:12,521 - INFO - Epoch [33/300], Iter [78/156] Loss: -0.4777
2022-01-12 15:49:14,007 - INFO - Epoch [33/300], Iter [156/156] Loss: -0.4084
2022-01-12 15:49:15,834 - INFO - Epoch [34/300], Iter [78/156] Loss: -0.4729
2022-01-12 15:49:17,323 - INFO - Epoch [34/300], Iter [156/156] Loss: -0.5488
2022-01-12 15:49:19,166 - INFO - Epoch [35/300], Iter [78/156] Loss: -0.4650
2022-01-12 15:49:20,640 - INFO - Epoch [35/300], Iter [156/156] Loss: -0.5341
2022-01-12 15:49:22,492 - INFO - Epoch [36/300], Iter [78/156] Loss: -0.4468
2022-01-12 15:49:23,949 - INFO - Epoch [36/300], Iter [156/156] Loss: -0.5507
2022-01-12 15:49:25,826 - INFO - Epoch [37/300], Iter [78/156] Loss: -0.4962
2022-01-12 15:49:27,304 - INFO - Epoch [37/300], Iter [156/156] Loss: -0.4846
2022-01-12 15:49:29,159 - INFO - Epoch [38/300], Iter [78/156] Loss: -0.5249
2022-01-12 15:49:30,644 - INFO - Epoch [38/300], Iter [156/156] Loss: -0.5266
2022-01-12 15:49:32,494 - INFO - Epoch [39/300], Iter [78/156] Loss: -0.4665
2022-01-12 15:49:33,965 - INFO - Epoch [39/300], Iter [156/156] Loss: -0.5082
2022-01-12 15:49:35,829 - INFO - Epoch [40/300], Iter [78/156] Loss: -0.5383
2022-01-12 15:49:37,297 - INFO - Epoch [40/300], Iter [156/156] Loss: -0.5087
2022-01-12 15:49:37,323 - INFO - --------------------Evaluation: mAP@50-------------------
2022-01-12 15:51:47,033 - INFO - --- Configs List---
2022-01-12 15:51:47,033 - INFO - --- Dadaset:MIRFlickr
2022-01-12 15:51:47,033 - INFO - --- Train:True
2022-01-12 15:51:47,033 - INFO - --- Bit:16
2022-01-12 15:51:47,033 - INFO - --- Alpha:0.5
2022-01-12 15:51:47,033 - INFO - --- Beta:0.1
2022-01-12 15:51:47,033 - INFO - --- Lambda:0.4
2022-01-12 15:51:47,033 - INFO - --- Mu:1.4
2022-01-12 15:51:47,033 - INFO - --- Batch:32
2022-01-12 15:51:47,033 - INFO - --- Lr_IMG:0.01
2022-01-12 15:51:47,033 - INFO - --- Lr_TXT:0.01
2022-01-12 15:51:50,899 - INFO - Epoch [1/300], Iter [78/156] Loss: 0.1078
2022-01-12 15:51:52,363 - INFO - Epoch [1/300], Iter [156/156] Loss: 0.0918
2022-01-12 15:51:54,237 - INFO - Epoch [2/300], Iter [78/156] Loss: 0.0291
2022-01-12 15:51:55,677 - INFO - Epoch [2/300], Iter [156/156] Loss: 0.0136
2022-01-12 15:51:57,533 - INFO - Epoch [3/300], Iter [78/156] Loss: -0.1734
2022-01-12 15:51:58,998 - INFO - Epoch [3/300], Iter [156/156] Loss: -0.0920
2022-01-12 15:52:00,877 - INFO - Epoch [4/300], Iter [78/156] Loss: -0.2406
2022-01-12 15:52:02,344 - INFO - Epoch [4/300], Iter [156/156] Loss: -0.1870
2022-01-12 15:52:04,229 - INFO - Epoch [5/300], Iter [78/156] Loss: -0.1815
2022-01-12 15:52:05,672 - INFO - Epoch [5/300], Iter [156/156] Loss: -0.2269
2022-01-12 15:52:07,548 - INFO - Epoch [6/300], Iter [78/156] Loss: -0.2441
2022-01-12 15:52:09,015 - INFO - Epoch [6/300], Iter [156/156] Loss: -0.2987
2022-01-12 15:52:10,912 - INFO - Epoch [7/300], Iter [78/156] Loss: -0.2985
2022-01-12 15:52:12,358 - INFO - Epoch [7/300], Iter [156/156] Loss: -0.2644
2022-01-12 15:52:14,263 - INFO - Epoch [8/300], Iter [78/156] Loss: -0.3153
2022-01-12 15:52:15,767 - INFO - Epoch [8/300], Iter [156/156] Loss: -0.2159
2022-01-12 15:52:17,810 - INFO - Epoch [9/300], Iter [78/156] Loss: -0.2934
2022-01-12 15:52:19,325 - INFO - Epoch [9/300], Iter [156/156] Loss: -0.2355
2022-01-12 15:52:21,257 - INFO - Epoch [10/300], Iter [78/156] Loss: -0.4516
